Date,Pressure,Temperature,Tpot (K),Tdew (degC),Humidity,VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),Anomaly
2009-07-03 17:00:00,984.56,27.09,301.59,15.58,49.39,35.9,17.73,18.17,11.28,18.01,1134.54,2.26,4.13,47.22,True
2009-07-03 17:10:00,984.45,27.1,301.61,15.65,49.59,35.92,17.81,18.11,11.33,18.09,1134.34,2.64,4.0,42.69,True
2009-07-03 17:20:00,984.34,27.08,301.6,15.73,49.88,35.88,17.89,17.98,11.39,18.18,1134.25,2.51,4.88,36.64,True
2009-07-03 17:30:00,984.32,26.89,301.41,15.67,50.25,35.48,17.83,17.65,11.34,18.11,1134.98,2.2,3.63,53.28,True
2009-07-03 17:40:00,984.28,26.98,301.5,15.67,49.98,35.67,17.83,17.84,11.34,18.11,1134.59,2.64,4.13,33.83,True
2009-07-03 17:50:00,984.2,26.75,301.28,15.68,50.69,35.19,17.84,17.35,11.35,18.12,1135.36,1.89,3.38,42.61,True
2009-07-03 18:00:00,984.28,26.49,301.01,15.54,51.03,34.65,17.68,16.97,11.25,17.97,1136.51,2.33,4.38,36.38,True
2009-07-03 18:10:00,984.33,26.4,300.92,15.75,51.98,34.47,17.92,16.55,11.4,18.2,1136.81,1.19,2.0,51.36,True
2009-07-05 17:30:00,981.99,26.39,301.11,9.59,34.71,34.45,11.96,22.49,7.61,12.18,1136.74,1.03,2.38,28.04,True
2009-07-16 15:40:00,994.29,26.67,300.32,11.14,37.88,35.02,13.27,21.76,8.34,13.34,1149.4,1.12,2.38,297.8,True
2009-07-16 15:50:00,994.25,26.58,300.24,11.43,38.81,34.84,13.52,21.32,8.5,13.6,1149.58,1.25,2.63,243.6,True
2009-07-16 17:10:00,993.42,26.33,300.06,11.02,38.33,34.33,13.16,21.17,8.28,13.25,1149.74,1.37,3.38,37.81,True
2009-07-16 17:30:00,993.38,26.43,300.16,11.38,39.03,34.53,13.48,21.05,8.48,13.57,1149.17,0.99,1.75,12.38,True
2009-07-16 18:00:00,993.16,26.34,300.09,11.29,39.0,34.35,13.4,20.95,8.43,13.49,1149.29,0.72,2.38,18.25,True
2009-07-17 10:00:00,984.58,26.73,301.23,17.3,56.27,35.15,19.78,15.37,12.59,20.09,1135.03,2.58,4.25,164.4,True
2009-07-17 10:10:00,984.44,26.68,301.19,17.08,55.66,35.04,19.51,15.54,12.42,19.81,1135.18,4.49,8.38,214.3,True
2009-07-17 10:20:00,984.49,26.38,300.88,16.28,53.84,34.43,18.54,15.89,11.8,18.83,1136.8,7.18,10.38,216.5,True
2009-07-17 10:30:00,984.52,26.3,300.8,16.23,53.93,34.27,18.48,15.79,11.76,18.77,1137.16,6.37,9.13,213.4,True
2009-07-17 10:40:00,984.56,26.71,301.21,16.81,54.62,35.1,19.17,15.93,12.2,19.48,1135.35,5.57,7.63,208.0,True
2009-07-17 10:50:00,984.46,26.47,300.98,16.56,54.52,34.61,18.87,15.74,12.01,19.17,1136.27,5.55,8.0,212.7,True
2009-07-21 16:40:00,986.03,26.63,301.0,14.12,46.19,34.94,16.14,18.8,10.24,16.37,1138.69,3.2,4.88,188.4,True
2009-07-21 16:50:00,985.98,26.79,301.16,14.06,45.56,35.27,16.07,19.2,10.2,16.3,1138.06,3.46,6.63,202.5,True
2009-07-22 15:40:00,983.33,26.31,300.91,14.72,48.92,34.29,16.77,17.51,10.68,17.06,1136.49,5.76,9.25,204.9,True
2009-07-22 16:20:00,982.77,26.45,301.1,14.99,49.36,34.57,17.06,17.51,10.87,17.36,1135.18,3.48,5.0,204.1,True
2009-07-22 16:30:00,982.7,26.36,301.02,14.64,48.51,34.39,16.68,17.71,10.63,16.98,1135.61,3.06,5.63,216.2,True
2009-07-22 17:00:00,982.66,26.65,301.31,14.82,48.26,34.98,16.88,18.1,10.76,17.18,1134.37,3.32,5.0,222.9,True
2009-07-22 17:10:00,982.49,27.03,301.71,15.2,48.37,35.77,17.3,18.47,11.03,17.61,1132.56,3.3,6.13,192.5,True
2009-07-22 17:20:00,982.58,27.01,301.68,14.6,46.59,35.73,16.65,19.08,10.61,16.94,1133.02,5.58,7.25,194.2,True
2009-07-22 17:30:00,982.54,26.8,301.47,14.65,47.31,35.29,16.7,18.59,10.64,16.99,1133.75,4.35,6.88,198.1,True
2009-07-22 17:40:00,982.4,26.83,301.52,14.57,46.99,35.35,16.61,18.74,10.59,16.91,1133.51,4.55,6.75,196.4,True
2009-07-22 17:50:00,982.41,26.86,301.55,14.71,47.33,35.42,16.76,18.65,10.68,17.06,1133.34,3.9,5.88,201.3,True
2009-07-22 18:00:00,982.36,26.86,301.55,14.66,47.19,35.42,16.71,18.7,10.65,17.01,1133.31,3.89,6.5,199.1,True
2009-07-22 18:10:00,982.36,26.7,301.39,14.7,47.75,35.08,16.75,18.33,10.68,17.05,1133.89,3.96,6.0,216.7,True
2009-07-22 18:20:00,982.34,26.42,301.11,14.63,48.33,34.51,16.68,17.83,10.63,16.98,1134.96,4.32,5.75,219.7,True
2009-07-27 14:10:00,985.36,26.32,300.75,10.41,36.83,34.31,12.64,21.67,8.02,12.82,1140.63,4.08,6.5,157.6,True
2009-07-27 14:20:00,985.31,26.56,300.99,10.46,36.43,34.8,12.68,22.12,8.04,12.87,1139.64,4.34,6.13,198.7,True
2009-07-27 14:30:00,985.17,26.56,301.0,10.35,36.18,34.8,12.59,22.21,7.99,12.78,1139.52,3.2,5.88,178.7,True
2009-07-27 14:40:00,985.04,26.79,301.25,10.4,35.8,35.27,12.63,22.64,8.01,12.82,1138.48,4.35,7.13,180.9,True
2009-07-27 14:50:00,985.06,26.78,301.23,10.54,36.15,35.25,12.74,22.51,8.09,12.94,1138.49,2.45,3.63,198.2,True
2009-07-27 15:00:00,984.94,26.78,301.24,9.57,33.88,35.25,11.94,23.31,7.58,12.13,1138.7,4.57,6.25,197.1,True
2009-07-27 15:10:00,984.84,26.87,301.34,10.16,35.07,35.44,12.43,23.01,7.89,12.62,1138.03,4.79,7.38,188.5,True
2009-07-27 15:20:00,984.72,26.88,301.36,9.85,34.33,35.46,12.17,23.28,7.72,12.36,1137.96,4.72,7.25,192.3,True
2009-07-27 15:30:00,984.68,26.96,301.45,9.75,33.94,35.62,12.09,23.53,7.67,12.28,1137.65,4.3,6.0,201.9,True
2009-07-27 15:40:00,984.65,27.2,301.69,9.94,33.88,36.13,12.24,23.89,7.77,12.43,1136.64,5.15,6.75,191.4,True
2009-07-27 15:50:00,984.66,27.13,301.62,9.98,34.13,35.98,12.28,23.7,7.79,12.47,1136.9,4.22,7.13,186.0,True
2009-07-27 16:00:00,984.62,27.42,301.92,10.45,34.61,36.6,12.67,23.93,8.04,12.86,1135.59,4.59,8.0,212.1,True
2009-07-27 16:10:00,984.56,27.05,301.55,10.2,34.8,35.81,12.46,23.35,7.91,12.66,1137.01,4.3,6.88,229.6,True
2009-07-27 16:20:00,984.46,27.41,301.92,10.28,34.26,36.58,12.53,24.04,7.96,12.73,1135.5,3.91,5.88,180.7,True
2009-07-27 16:30:00,984.44,27.59,302.1,10.35,34.06,36.96,12.59,24.37,7.99,12.79,1134.77,5.28,7.88,176.0,True
2009-07-27 16:40:00,984.36,27.44,301.96,10.59,34.9,36.64,12.79,23.85,8.12,12.99,1135.16,4.57,7.13,202.5,True
2009-07-27 16:50:00,984.21,27.48,302.01,10.57,34.77,36.73,12.77,23.96,8.11,12.97,1134.84,3.74,6.0,179.8,True
2009-07-27 17:00:00,984.26,27.72,302.25,10.79,34.79,37.24,12.96,24.29,8.23,13.16,1133.91,3.92,6.5,193.3,True
2009-07-27 17:10:00,984.28,27.88,302.41,10.71,34.29,37.59,12.89,24.7,8.19,13.1,1133.36,3.53,5.75,182.1,True
2009-07-27 17:20:00,984.31,27.88,302.4,10.37,33.53,37.59,12.6,24.99,8.0,12.81,1133.52,4.32,6.25,218.2,True
2009-07-27 17:30:00,984.32,27.54,302.06,10.18,33.77,36.85,12.45,24.41,7.9,12.64,1134.88,3.81,6.0,214.5,True
2009-07-27 17:40:00,984.36,27.61,302.13,10.34,33.99,37.01,12.58,24.43,7.99,12.78,1134.61,3.52,5.0,209.1,True
2009-07-27 17:50:00,984.44,27.57,302.08,10.23,33.82,36.92,12.49,24.43,7.93,12.68,1134.89,3.78,4.63,215.5,True
2009-07-27 18:00:00,984.45,27.47,301.98,10.33,34.24,36.7,12.57,24.14,7.98,12.77,1135.24,3.24,5.38,216.4,True
2009-07-27 18:10:00,984.42,27.44,301.95,10.47,34.63,36.64,12.69,23.95,8.06,12.89,1135.27,2.66,4.38,213.9,True
2009-07-27 18:20:00,984.44,26.87,301.38,10.71,36.37,35.44,12.89,22.55,8.18,13.09,1137.36,2.75,3.88,212.3,True
2009-07-27 18:30:00,984.44,26.44,300.95,10.55,36.91,34.55,12.75,21.8,8.1,12.95,1139.05,2.61,4.5,219.5,True
2009-07-29 16:10:00,990.5,26.4,300.38,9.31,34.04,34.47,11.73,22.74,7.4,11.85,1146.7,2.75,5.75,185.9,True
2009-07-29 16:20:00,990.38,26.66,300.65,9.32,33.55,35.0,11.74,23.26,7.41,11.86,1145.56,2.86,5.63,182.3,True
2009-07-29 16:30:00,990.25,26.88,300.88,9.43,33.36,35.46,11.83,23.63,7.46,11.95,1144.53,2.65,4.75,180.3,True
2009-07-29 16:40:00,990.21,26.61,300.61,9.38,33.78,34.9,11.79,23.11,7.44,11.91,1145.54,2.88,4.63,161.3,True
2009-07-29 16:50:00,990.13,26.39,300.4,9.38,34.23,34.45,11.79,22.66,7.44,11.91,1146.28,2.65,3.88,194.8,True
2009-07-29 17:20:00,989.96,26.58,300.61,10.11,35.56,34.84,12.39,22.45,7.82,12.51,1145.1,2.01,3.25,187.6,True
2009-07-29 17:30:00,989.88,26.68,300.71,9.99,35.07,35.04,12.29,22.75,7.76,12.42,1144.67,2.48,4.25,180.9,True
2009-08-01 15:20:00,986.4,26.37,300.71,11.64,39.85,34.41,13.71,20.7,8.69,13.9,1141.18,3.92,6.38,163.2,True
2009-08-01 18:20:00,985.36,26.38,300.81,11.78,40.2,34.43,13.84,20.59,8.78,14.05,1139.87,1.48,2.5,170.1,True
2009-08-01 18:30:00,985.26,26.57,301.01,11.89,40.05,34.82,13.94,20.87,8.85,14.15,1138.99,1.36,2.13,169.9,True
2009-08-01 18:40:00,985.19,26.34,300.78,12.0,40.88,34.35,14.04,20.31,8.91,14.25,1139.74,0.76,1.5,195.0,True
2009-08-02 10:50:00,982.61,26.4,301.07,14.88,49.17,34.47,16.95,17.52,10.8,17.25,1135.23,1.94,3.75,103.4,True
2009-08-02 11:00:00,982.6,26.66,301.33,15.03,48.9,35.0,17.12,17.89,10.91,17.42,1134.16,1.89,4.38,67.44,True
2009-08-02 11:10:00,982.56,27.1,301.77,15.14,47.98,35.92,17.23,18.68,10.98,17.54,1132.4,2.26,4.38,99.2,True
2009-08-02 11:20:00,982.6,27.47,302.14,14.91,46.26,36.7,16.98,19.72,10.82,17.28,1131.17,1.61,3.13,113.7,True
2009-08-02 11:30:00,982.73,27.61,302.27,14.88,45.81,37.01,16.95,20.05,10.8,17.25,1130.8,2.29,4.25,182.5,True
2009-08-02 11:40:00,982.85,27.28,301.93,14.24,44.8,36.3,16.26,20.04,10.36,16.55,1132.49,2.88,4.75,245.3,True
2009-08-02 11:50:00,982.85,27.24,301.89,13.97,44.13,36.21,15.98,20.23,10.18,16.26,1132.76,2.61,6.13,246.6,True
2009-08-02 12:00:00,982.8,27.7,302.36,12.76,39.69,37.2,14.76,22.44,9.4,15.02,1131.5,4.49,6.88,241.2,True
2009-08-02 12:10:00,982.79,27.79,302.45,13.15,40.51,37.4,15.15,22.25,9.64,15.41,1130.99,3.67,6.63,254.8,True
2009-08-02 12:20:00,982.82,27.61,302.26,13.12,40.85,37.01,15.12,21.89,9.62,15.38,1131.71,4.9,7.13,226.8,True
2009-08-02 12:30:00,982.91,27.19,301.83,12.91,41.29,36.11,14.91,21.2,9.49,15.17,1133.49,4.41,6.75,247.1,True
2009-08-02 12:40:00,983.01,26.99,301.62,12.99,42.01,35.69,14.99,20.69,9.54,15.25,1134.32,3.45,7.0,239.2,True
2009-08-02 12:50:00,983.06,26.9,301.53,12.95,42.11,35.5,14.95,20.55,9.51,15.21,1134.74,4.04,7.5,244.1,True
2009-08-02 13:00:00,983.1,26.85,301.48,12.6,41.29,35.39,14.61,20.78,9.3,14.87,1135.12,4.03,6.88,247.0,True
2009-08-02 13:10:00,983.06,26.7,301.33,12.73,41.99,35.08,14.73,20.35,9.37,14.99,1135.59,3.43,5.88,241.0,True
2009-08-02 13:20:00,983.1,26.7,301.33,12.73,41.99,35.08,14.73,20.35,9.37,14.99,1135.64,3.26,5.0,219.6,True
2009-08-02 13:30:00,983.19,26.55,301.17,12.53,41.82,34.78,14.54,20.23,9.25,14.79,1136.4,3.74,5.75,250.2,True
2009-08-02 13:40:00,983.24,26.52,301.13,12.7,42.35,34.71,14.7,20.01,9.35,14.95,1136.5,3.35,4.88,250.2,True
2009-08-02 13:50:00,983.22,26.61,301.22,13.06,43.15,34.9,15.06,19.84,9.58,15.32,1135.98,3.2,5.5,240.2,True
2009-08-02 14:00:00,983.17,26.62,301.24,12.8,42.39,34.92,14.8,20.12,9.42,15.06,1135.99,5.56,7.38,202.7,True
2009-08-02 14:10:00,983.25,26.38,300.99,12.87,43.18,34.43,14.87,19.56,9.46,15.12,1136.97,5.8,7.75,209.9,True
2009-08-06 16:20:00,993.37,26.34,300.07,12.11,41.19,34.35,14.15,20.2,8.91,14.24,1149.21,2.57,6.0,55.8,True
2009-08-07 13:00:00,991.75,26.3,300.17,12.04,41.1,34.27,14.08,20.18,8.88,14.2,1147.5,2.16,4.38,69.44,True
2009-08-07 13:10:00,991.63,26.69,300.57,12.22,40.65,35.06,14.25,20.81,8.99,14.37,1145.8,2.32,5.0,61.78,True
2009-08-07 13:20:00,991.57,26.47,300.36,11.93,40.4,34.61,13.98,20.63,8.82,14.1,1146.69,2.53,4.25,43.22,True
2009-08-07 13:50:00,991.48,26.62,300.51,12.27,40.94,34.92,14.3,20.62,9.02,14.42,1145.87,3.02,6.25,46.8,True
2009-08-07 14:00:00,991.43,26.82,300.72,12.21,40.31,35.33,14.24,21.09,8.98,14.37,1145.07,3.01,5.0,50.56,True
2009-08-07 14:10:00,991.32,26.79,300.7,11.92,39.62,35.27,13.97,21.3,8.81,14.1,1145.18,5.62,7.0,31.92,True
2009-08-07 14:20:00,991.31,26.71,300.62,12.13,40.35,35.1,14.16,20.94,8.94,14.29,1145.39,4.27,6.38,43.45,True
2009-08-07 14:30:00,991.27,26.76,300.67,12.2,40.43,35.21,14.23,20.97,8.98,14.36,1145.12,3.33,5.75,50.26,True
2009-08-07 14:40:00,991.18,26.56,300.48,11.82,39.89,34.8,13.88,20.92,8.76,14.0,1145.94,3.13,5.25,51.94,True
2009-08-07 14:50:00,991.12,26.61,300.54,11.69,39.42,34.9,13.76,21.14,8.68,13.88,1145.73,2.99,5.25,48.1,True
2009-08-07 15:00:00,991.04,26.92,300.85,11.66,38.64,35.54,13.73,21.81,8.66,13.86,1144.46,2.45,4.63,54.97,True
2009-08-07 15:10:00,990.96,27.2,301.14,11.6,37.86,36.13,13.68,22.45,8.63,13.8,1143.33,2.05,4.13,64.4,True
2009-08-07 15:20:00,990.94,27.27,301.21,11.31,36.99,36.28,13.42,22.86,8.47,13.54,1143.15,3.83,6.63,47.79,True
2009-08-07 15:30:00,990.91,27.27,301.22,11.25,36.84,36.28,13.36,22.91,8.43,13.49,1143.14,3.67,5.25,51.89,True
2009-08-07 15:40:00,990.82,27.33,301.28,11.18,36.53,36.4,13.3,23.11,8.39,13.42,1142.84,2.65,5.0,54.62,True
2009-08-07 15:50:00,990.71,27.63,301.59,11.37,36.35,37.05,13.47,23.58,8.5,13.59,1141.5,2.42,5.13,60.65,True
2009-08-07 16:00:00,990.72,27.49,301.45,11.76,37.61,36.75,13.82,22.93,8.72,13.95,1141.88,3.28,5.75,59.37,True
2009-08-07 16:10:00,990.77,27.22,301.18,11.7,38.07,36.17,13.77,22.4,8.69,13.9,1142.99,3.05,6.25,65.6,True
2009-08-07 16:20:00,990.75,27.38,301.34,11.93,38.28,36.51,13.98,22.53,8.82,14.11,1142.27,2.53,4.25,54.3,True
2009-08-07 16:30:00,990.72,27.34,301.3,11.78,38.0,36.43,13.84,22.58,8.74,13.97,1142.44,2.69,4.38,51.98,True
2009-08-07 16:40:00,990.7,27.23,301.19,11.94,38.64,36.19,13.98,22.21,8.83,14.12,1142.78,2.19,4.13,61.51,True
2009-08-07 16:50:00,990.7,27.17,301.13,11.94,38.78,36.07,13.99,22.08,8.83,14.12,1143.01,2.4,4.5,71.4,True
2009-08-07 17:00:00,990.7,27.33,301.29,12.11,38.87,36.4,14.15,22.25,8.93,14.28,1142.32,2.11,3.25,76.6,True
2009-08-07 17:10:00,990.7,27.37,301.33,12.04,38.6,36.49,14.09,22.4,8.89,14.22,1142.2,2.3,3.75,59.29,True
2009-08-07 17:20:00,990.7,27.28,301.24,12.07,38.88,36.3,14.11,22.19,8.91,14.25,1142.53,2.19,4.38,63.56,True
2009-08-07 17:30:00,990.7,27.29,301.25,12.1,38.93,36.32,14.14,22.18,8.93,14.27,1142.48,2.27,5.0,77.3,True
2009-08-07 17:40:00,990.65,27.15,301.12,11.76,38.37,36.02,13.82,22.2,8.72,13.95,1143.1,2.66,4.88,93.4,True
2009-08-07 17:50:00,990.61,27.08,301.05,11.87,38.8,35.88,13.92,21.96,8.79,14.05,1143.27,2.23,4.75,76.9,True
2009-08-07 18:00:00,990.58,26.98,300.95,12.08,39.59,35.67,14.12,21.55,8.91,14.25,1143.53,1.71,3.25,65.77,True
2009-08-07 18:10:00,990.58,26.81,300.78,11.88,39.45,35.31,13.93,21.38,8.79,14.06,1144.26,2.48,4.5,55.24,True
2009-08-07 18:20:00,990.46,26.55,300.53,11.87,40.05,34.78,13.93,20.85,8.79,14.06,1145.12,2.62,4.38,54.24,True
2009-08-07 18:30:00,990.45,26.36,300.34,11.94,40.67,34.39,13.99,20.4,8.83,14.12,1145.81,2.08,3.75,55.1,True
2009-08-08 10:40:00,990.68,26.38,300.34,13.25,44.27,34.43,15.24,19.19,9.63,15.39,1145.44,1.29,2.25,155.2,True
2009-08-08 12:10:00,990.03,26.36,300.38,12.86,43.21,34.39,14.86,19.53,9.39,15.01,1144.93,2.22,3.5,62.69,True
2009-08-08 12:20:00,989.96,26.37,300.4,13.15,44.03,34.41,15.15,19.26,9.57,15.3,1144.69,3.13,5.0,50.51,True
2009-08-08 12:30:00,989.96,26.54,300.57,12.7,42.32,34.76,14.71,20.05,9.29,14.86,1144.23,2.44,4.0,62.86,True
2009-08-08 12:40:00,989.93,26.66,300.69,12.34,41.04,35.0,14.36,20.64,9.08,14.51,1143.89,2.13,4.13,47.85,True
2009-08-08 12:50:00,989.85,27.25,301.29,12.13,39.09,36.23,14.16,22.07,8.95,14.31,1141.64,1.43,3.38,153.1,True
2009-08-08 13:00:00,989.76,27.99,302.04,12.4,38.11,37.83,14.42,23.42,9.11,14.57,1138.62,2.08,4.0,87.9,True
2009-08-08 13:10:00,989.8,27.14,301.18,11.78,38.44,36.0,13.84,22.16,8.74,13.98,1142.14,1.86,3.5,78.0,True
2009-08-08 13:20:00,989.72,26.56,300.61,12.28,41.11,34.8,14.3,20.49,9.04,14.45,1144.05,2.23,4.25,44.19,True
2009-08-08 13:30:00,989.64,26.38,300.43,12.3,41.6,34.43,14.32,20.11,9.05,14.47,1144.64,3.02,4.63,37.48,True
2009-08-08 13:50:00,989.6,26.61,300.67,12.64,41.96,34.9,14.64,20.26,9.26,14.8,1143.57,2.71,4.5,44.47,True
2009-08-08 14:00:00,989.6,26.73,300.79,12.31,40.78,35.15,14.33,20.81,9.06,14.48,1143.25,2.22,3.5,49.04,True
2009-08-08 14:10:00,989.51,26.81,300.88,12.13,40.11,35.31,14.16,21.15,8.95,14.31,1142.92,2.13,4.0,41.33,True
2009-08-08 14:20:00,989.47,26.68,300.75,12.02,40.13,35.04,14.06,20.98,8.89,14.21,1143.41,1.85,3.5,52.68,True
2009-08-08 14:30:00,989.48,26.48,300.55,12.15,40.94,34.63,14.18,20.45,8.96,14.33,1144.13,1.63,2.88,68.39,True
2009-08-08 14:40:00,989.47,26.4,300.47,12.31,41.58,34.47,14.33,20.14,9.06,14.49,1144.36,1.32,2.38,48.74,True
2009-08-08 14:50:00,989.37,26.46,300.54,12.09,40.83,34.59,14.12,20.47,8.93,14.28,1144.11,1.09,2.0,63.22,True
2009-08-08 15:00:00,989.34,26.46,300.54,12.44,41.79,34.59,14.46,20.14,9.14,14.61,1143.93,0.64,1.13,58.71,True
2009-08-08 15:10:00,989.26,26.48,300.57,12.2,41.1,34.63,14.23,20.4,9.0,14.39,1143.85,0.53,1.13,63.65,True
2009-08-08 15:20:00,989.23,26.46,300.55,12.5,41.97,34.59,14.52,20.07,9.18,14.68,1143.77,0.74,1.25,56.63,True
2009-08-08 15:30:00,989.21,26.33,300.42,13.11,44.01,34.33,15.11,19.22,9.55,15.27,1143.98,1.83,2.88,42.44,True
2009-08-08 16:00:00,989.1,26.73,300.83,12.95,42.52,35.15,14.94,20.2,9.45,15.11,1142.4,1.74,3.75,72.3,True
2009-08-08 16:10:00,989.04,27.17,301.28,12.32,39.76,36.07,14.34,21.73,9.07,14.5,1140.92,2.68,4.75,65.17,True
2009-08-08 16:20:00,988.98,27.0,301.11,12.16,39.76,35.71,14.2,21.51,8.98,14.36,1141.56,3.38,5.0,45.6,True
2009-08-08 16:30:00,988.98,26.81,300.92,12.22,40.35,35.31,14.25,21.06,9.01,14.41,1142.26,2.68,4.88,56.15,True
2009-08-08 16:40:00,988.98,26.6,300.71,12.11,40.55,34.88,14.14,20.74,8.94,14.3,1143.11,3.78,5.5,47.6,True
2009-08-08 16:50:00,988.98,26.51,300.62,12.28,41.24,34.69,14.31,20.39,9.05,14.47,1143.38,3.01,4.5,48.3,True
2009-08-08 17:00:00,988.98,26.56,300.67,12.27,41.09,34.8,14.3,20.5,9.04,14.46,1143.2,3.79,6.0,44.14,True
2009-08-08 17:10:00,989.05,26.78,300.89,12.51,41.2,35.25,14.52,20.73,9.18,14.68,1142.34,2.35,4.13,50.38,True
2009-08-08 17:20:00,989.0,26.44,300.55,12.28,41.41,34.55,14.31,20.24,9.05,14.47,1143.67,3.44,6.25,46.21,True
2009-08-15 14:00:00,990.08,26.51,300.53,11.62,39.47,34.69,13.69,21.0,8.65,13.83,1144.93,2.82,4.63,181.6,True
2009-08-15 14:10:00,990.04,26.45,300.47,11.72,39.89,34.57,13.79,20.78,8.71,13.93,1145.07,2.68,4.13,192.7,True
2009-08-15 14:20:00,989.9,26.44,300.47,11.56,39.48,34.55,13.64,20.91,8.62,13.78,1145.01,2.51,4.63,189.3,True
2009-08-15 14:30:00,989.84,26.76,300.8,11.6,38.85,35.21,13.68,21.53,8.64,13.82,1143.7,2.43,3.88,209.0,True
2009-08-15 14:40:00,989.78,26.76,300.8,11.47,38.52,35.21,13.56,21.65,8.57,13.7,1143.69,3.18,6.5,181.0,True
2009-08-15 14:50:00,989.72,27.05,301.1,11.45,37.81,35.81,13.54,22.27,8.55,13.68,1142.52,2.55,4.5,195.9,True
2009-08-15 15:00:00,989.61,27.4,301.46,11.46,37.06,36.55,13.55,23.01,8.56,13.69,1141.06,2.29,5.75,213.9,True
2009-08-15 15:10:00,989.48,27.21,301.28,11.06,36.5,36.15,13.19,22.96,8.34,13.33,1141.79,3.74,7.0,172.1,True
2009-08-15 15:20:00,989.45,27.37,301.44,11.06,36.16,36.49,13.19,23.3,8.34,13.34,1141.14,1.6,3.63,195.5,True
2009-08-15 15:30:00,989.41,27.52,301.6,11.33,36.5,36.81,13.44,23.38,8.49,13.58,1140.42,2.55,4.5,215.0,True
2009-08-15 15:40:00,989.36,27.59,301.67,11.14,35.88,36.96,13.26,23.7,8.38,13.4,1140.17,3.08,5.5,198.2,True
2009-08-15 15:50:00,989.36,27.99,302.07,10.78,34.23,37.83,12.95,24.88,8.18,13.09,1138.8,2.44,4.88,227.7,True
2009-08-15 16:00:00,989.35,27.7,301.78,10.25,33.6,37.2,12.5,24.7,7.9,12.63,1140.08,3.84,5.88,212.1,True
